Gas0,Sensor0,No,0,0,0,0
Gas2,Sensor0,No,0,0,0,0
Gas3,Sensor0,No,0,0,0,0
Gas4,Sensor0,Yes,0.4775242730456489,0.001,0.0017359443464906924,14.246713328294408
Gas7,Sensor0,No,0,0,0,0
Gas9,Sensor0,No,0,0,0,0
Gas10,Sensor0,No,0,0,0,0
Gas13,Sensor0,No,0,0,0,0
Gas16,Sensor0,Yes,0.4607722629876335,0.001,0.001221204979950492,13.607040733236403
Gas19,Sensor0,No,0,0,0,0
Gas25,Sensor0,No,0,0,0,0
Gas26,Sensor0,No,0,0,0,0
Gas27,Sensor0,No,0,0,0,0
Gas28,Sensor0,No,0,0,0,0
Gas29,Sensor0,No,0,0,0,0
Gas33,Sensor0,Yes,0.5187326395716341,0.001,0.0013428616626059674,2.6339570307308557
Gas34,Sensor0,No,0,0,0,0
Gas35,Sensor0,No,0,0,0,0
Gas36,Sensor0,No,0,0,0,0
Gas38,Sensor0,No,0,0,0,0
Gas39,Sensor0,Yes,0.5980381212198738,0.001,0.001994174295653336,3.633314683876294
Gas40,Sensor0,No,0,0,0,0
Gas42,Sensor0,No,0,0,0,0
Gas47,Sensor0,Yes,0.867445951829876,0.001,0.0012442557966543652,1.5214324419108594
Gas48,Sensor0,Yes,0.40046103169676,0.001,0.0005599495037186075,10.260833818272953
Gas51,Sensor0,Yes,0.8826800940080708,0.001,0.0013879387236324552,5.075539882691899
Gas52,Sensor0,No,0,0,0,0
Gas53,Sensor0,No,0,0,0,0
Gas54,Sensor0,No,0,0,0,0
Gas55,Sensor0,No,0,0,0,0
Gas56,Sensor0,No,0,0,0,0
Gas57,Sensor0,No,0,0,0,0
Gas58,Sensor0,No,0,0,0,0
Gas59,Sensor0,No,0,0,0,0
Gas60,Sensor0,No,0,0,0,0
Gas62,Sensor0,No,0,0,0,0
Gas64,Sensor0,No,0,0,0,0
Gas65,Sensor0,No,0,0,0,0
Gas66,Sensor0,No,0,0,0,0
Gas67,Sensor0,No,0,0,0,0
Gas68,Sensor0,No,0,0,0,0
Gas69,Sensor0,No,0,0,0,0
Gas70,Sensor0,No,0,0,0,0
Gas72,Sensor0,Yes,0.884624597501636,0.001,7.3633555633841e-05,1.4052942487225106
Gas75,Sensor0,No,0,0,0,0
Gas76,Sensor0,No,0,0,0,0
Gas77,Sensor0,No,0,0,0,0
Gas80,Sensor0,No,0,0,0,0
Gas82,Sensor0,No,0,0,0,0
Gas83,Sensor0,No,0,0,0,0
Gas85,Sensor0,No,0,0,0,0
Gas87,Sensor0,No,0,0,0,0
Gas88,Sensor0,No,0,0,0,0
Gas92,Sensor0,No,0,0,0,0
Gas93,Sensor0,No,0,0,0,0
Gas95,Sensor0,Yes,0.5810907702402646,0.001,0.0007393870061683128,12.042946424970973
Gas97,Sensor0,No,0,0,0,0
Gas99,Sensor0,No,0,0,0,0
Gas0,Sensor1,Yes,0.7997506348552934,0.001,1.8977084469302685e-06,4.335768450754454
Gas1,Sensor1,No,0,0,0,0
Gas3,Sensor1,Yes,0.8731853030398347,0.001,0.0012385378103670752,19.450304382225653
Gas10,Sensor1,No,0,0,0,0
Gas12,Sensor1,No,0,0,0,0
Gas13,Sensor1,No,0,0,0,0
Gas14,Sensor1,Yes,0.7729987721354195,0.001,0.00039049620312783627,19.88588685760981
Gas15,Sensor1,No,0,0,0,0
Gas17,Sensor1,Yes,0.7438103938900829,0.001,0.0014378039576587339,1.093823416787445
Gas19,Sensor1,No,0,0,0,0
Gas20,Sensor1,No,0,0,0,0
Gas22,Sensor1,No,0,0,0,0
Gas24,Sensor1,No,0,0,0,0
Gas25,Sensor1,Yes,0.6870631162237122,0.001,0.0005013693120498379,8.064449771418685
Gas26,Sensor1,No,0,0,0,0
Gas27,Sensor1,Yes,0.870623093876064,0.001,0.00048049730636289814,0.24168365302717154
Gas31,Sensor1,No,0,0,0,0
Gas33,Sensor1,Yes,0.7165383574751374,0.001,0.0005067692389340032,14.872934627716896
Gas36,Sensor1,No,0,0,0,0
Gas39,Sensor1,No,0,0,0,0
Gas40,Sensor1,No,0,0,0,0
Gas41,Sensor1,No,0,0,0,0
Gas43,Sensor1,No,0,0,0,0
Gas44,Sensor1,No,0,0,0,0
Gas47,Sensor1,No,0,0,0,0
Gas55,Sensor1,Yes,0.5419376516869503,0.001,0.0014924218400509449,11.396572436422227
Gas58,Sensor1,No,0,0,0,0
Gas60,Sensor1,Yes,0.8650080158482889,0.001,1.7586182117311334e-05,16.129341286408106
Gas62,Sensor1,Yes,0.6994513911317406,0.001,0.00020116017172449663,7.009584659898818
Gas64,Sensor1,No,0,0,0,0
Gas66,Sensor1,No,0,0,0,0
Gas69,Sensor1,No,0,0,0,0
Gas70,Sensor1,No,0,0,0,0
Gas73,Sensor1,No,0,0,0,0
Gas74,Sensor1,No,0,0,0,0
